release_year,type,count
1975,Movie,1
1978,Movie,1
1983,Movie,1
1987,Movie,1
1993,Movie,1
1994,"TV Show",1
1996,Movie,1
1997,Movie,1
1998,Movie,1
2001,Movie,2
2002,Movie,1
2003,Movie,1
2004,Movie,2
2005,Movie,1
2006,Movie,1
2007,Movie,1
2008,Movie,1
2009,Movie,1
2010,Movie,2
2011,Movie,1
2012,Movie,1
2013,Movie,2
2013,"TV Show",1
2014,"TV Show",2
2015,"TV Show",1
2017,Movie,1
2017,"TV Show",1
2018,Movie,2
2018,"TV Show",2
2019,Movie,1
2019,"TV Show",2
2020,Movie,4
2020,"TV Show",4
2021,Movie,22
2021,"TV Show",31
